# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   59       2.167934379224e-10       2.678719830334e-14      -2.127193617999e-13       1.423329603840e-16       3.693662484687e-11       4.118974462233e-12      -1.094382263191e-14 
   60       2.197524880282e-10       2.818273404906e-14      -2.540442559099e-13       1.472197462496e-16       3.554932203371e-11       3.981891659600e-12      -1.106499961608e-14 
   61       2.227405766088e-10       2.961668890641e-14      -2.971906309916e-13       1.521890137848e-16       3.422995358738e-11       3.852078851511e-12      -1.106029578199e-14 
   62       2.257578892904e-10       3.108829289118e-14      -3.421274476954e-13       1.572406765013e-16       3.297629990303e-11       3.729033217430e-12      -1.096235770453e-14 
   63       2.288036679525e-10       3.259666125879e-14      -3.888178994818e-13       1.623746432743e-16       3.178429035047e-11       3.612022942910e-12      -1.080919582532e-14 
   64       2.318761481947e-10       3.414079111048e-14      -4.372192559069e-13       1.675908184181e-16       3.064790173967e-11       3.500075187489e-12      -1.064441183596e-14 
   65       2.349735262588e-10       3.571966817286e-14      -4.872920340752e-13       1.728891150419e-16       2.956081993252e-11       3.392233477500e-12      -1.050731637277e-14 
   66       2.380972382658e-10       3.733262104350e-14      -5.390301225892e-13       1.782694982339e-16       2.852206175218e-11       3.288420268695e-12      -1.040033879647e-14 
   67       2.412492657327e-10       3.897903612340e-14      -5.924367760401e-13       1.837319511851e-16       2.753136571257e-11       3.188736090716e-12      -1.031510144275e-14 
   68       2.444311342904e-10       4.065825375748e-14      -6.475159520491e-13       1.892764631548e-16       2.658748269179e-11       3.093201829599e-12      -1.024186590992e-14 
   69       2.476438799470e-10       4.236956792260e-14      -7.042724154812e-13       1.949030299177e-16       2.568812371647e-11       3.001754232032e-12      -1.016947765367e-14 
   70       2.508880153495e-10       4.411222591553e-14      -7.627118426588e-13       2.006116542111e-16       2.482990774597e-11       2.914241409610e-12      -1.008531058164e-14 
   71       2.541634960474e-10       4.588542804096e-14      -8.228409255750e-13       2.064023461820e-16       2.400830945678e-11       2.830418343082e-12      -9.975211648168e-15 
   72       2.574701039301e-10       4.768828856471e-14      -8.846596135485e-13       2.122751351949e-16       2.321882309603e-11       2.750017102057e-12      -9.827391287363e-15 
