# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   86       3.068598346188e-10       7.503411730635e-14      -1.901193175365e-12       0.000000000000e+00       1.501138341495e-11       1.907614169759e-12      -7.972359772670e-15 
   87       3.106438434904e-10       7.710957846700e-14      -1.982659437933e-12       0.000000000000e+00       1.458288341051e-11       1.862246512417e-12      -7.984226557053e-15 
   88       3.144586973916e-10       7.919074385987e-14      -2.065067292405e-12       0.000000000000e+00       1.416960407340e-11       1.818422984157e-12      -7.988859426445e-15 
   89       3.183035894127e-10       8.127580894558e-14      -2.148369827543e-12       0.000000000000e+00       1.376993538752e-11       1.776025987810e-12      -7.978341196147e-15 
   90       3.221788034077e-10       8.336301212311e-14      -2.232512028752e-12       0.000000000000e+00       1.338365776771e-11       1.735038208161e-12      -7.952013711981e-15 
   91       3.260847830135e-10       8.545057389748e-14      -2.317435488512e-12       0.000000000000e+00       1.301081959678e-11       1.695457541558e-12      -7.911245620383e-15 
   92       3.300217956845e-10       8.753667539761e-14      -2.403080081665e-12       0.000000000000e+00       1.265133550307e-11       1.657266519334e-12      -7.857579048827e-15 
   93       3.339899239868e-10       8.961945853690e-14      -2.489383971390e-12       0.000000000000e+00       1.230498104523e-11       1.620431702839e-12      -7.792734686934e-15 
   94       3.379890568917e-10       9.169702617365e-14      -2.576283615172e-12       0.000000000000e+00       1.197138739702e-11       1.584903078474e-12      -7.718616867586e-15 
   95       3.420188810695e-10       9.376744227166e-14      -2.663713770770e-12       0.000000000000e+00       1.165003603216e-11       1.550613452721e-12      -7.637318648032e-15 
   96       3.460788721836e-10       9.582873206071e-14      -2.751607502193e-12       0.000000000000e+00       1.134025340912e-11       1.517477847174e-12      -7.551126891003e-15 
   97       3.501682861837e-10       9.787888219705e-14      -2.839896185668e-12       0.000000000000e+00       1.104120565593e-11       1.485392893569e-12      -7.462527345818e-15 
   98       3.542861506001e-10       9.991584092397e-14      -2.928509515610e-12       0.000000000000e+00       1.075189325498e-11       1.454236228818e-12      -7.374209729494e-15 
   99       3.584315092046e-10       1.019375660336e-13      -3.017376788931e-12       0.000000000000e+00       1.047138010744e-11       1.423894975117e-12      -7.288544178324e-15 
  100       3.626042143544e-10       1.039421761573e-13      -3.106430952627e-12       0.000000000000e+00       1.019952923636e-11       1.394357090826e-12      -7.205915005286e-15 
  101       3.668042312253e-10       1.059278213019e-13      -3.195605143257e-12       0.000000000000e+00       9.936361900330e-12       1.365631894998e-12      -7.126159274957e-15 
  102       3.710313888930e-10       1.078926376911e-13      -3.284831480943e-12       0.000000000000e+00       9.681830067470e-12       1.337721887408e-12      -7.049073068142e-15 
