# z w cs2
0.01129372 -1.00000000 0.00000000
0.01169018 -1.00000000 0.00000000
0.01210056 -1.00000000 0.00000000
0.01252534 -1.00000000 0.00000000
0.01296504 -1.00000000 0.00000000
0.01342017 -1.00000000 0.00000000
0.01389128 -1.00000000 0.00000000
0.01437892 -1.00000000 0.00000000
0.01488369 -1.00000000 0.00000000
0.01540617 -1.00000000 0.00000000
0.01594700 -1.00000000 0.00000000
0.01650681 -1.00000000 0.00000000
0.01708628 -1.00000000 0.00000000
0.01768608 -1.00000000 0.00000000
0.01830694 -1.00000000 0.00000000
0.01894960 -1.00000000 0.00000000
0.01961482 -1.00000000 0.00000000
0.02030339 -1.00000000 0.00000000
0.02101613 -1.00000000 0.00000000
0.02175389 -1.00000000 0.00000000
0.02251755 -1.00000000 0.00000000
0.02330802 -1.00000000 0.00000000
0.02412623 -1.00000000 0.00000000
0.02497317 -1.00000000 0.00000000
0.02584985 -1.00000000 0.00000000
0.02675729 -1.00000000 0.00000000
0.02769660 -1.00000000 0.00000000
0.02866887 -1.00000000 0.00000000
0.02967528 -1.00000000 0.00000000
0.03071702 -1.00000000 0.00000000
0.03179532 -1.00000000 0.00000000
0.03291148 -1.00000000 0.00000000
0.03406682 -1.00000000 0.00000000
0.03526272 -1.00000000 0.00000000
0.03650061 -1.00000000 0.00000000
0.03778194 -1.00000000 0.00000000
0.03910826 -1.00000000 0.00000000
0.04048114 -1.00000000 0.00000000
0.04190221 -1.00000000 0.00000000
0.04337317 -1.00000000 0.00000000
0.04489576 -1.00000000 0.00000000
0.04647181 -1.00000000 0.00000000
0.04810318 -1.00000000 0.00000000
0.04979182 -1.00000000 0.00000000
0.05153973 -1.00000000 0.00000000
0.05334901 -1.00000000 0.00000000
0.05522181 -1.00000000 0.00000000
0.05716034 -1.00000000 0.00000000
0.05916693 -1.00000000 0.00000000
0.06124396 -1.00000000 0.00000000
0.06339390 -1.00000000 0.00000000
0.06561931 -1.00000000 0.00000000
0.06792284 -1.00000000 0.00000000
0.07030724 -1.00000000 0.00000000
0.07277535 -1.00000000 0.00000000
0.07533009 -1.00000000 0.00000000
0.07797452 -1.00000000 0.00000000
0.08071178 -1.00000000 0.00000000
0.08354513 -1.00000000 0.00000000
0.08647794 -1.00000000 0.00000000
0.08951371 -1.00000000 0.00000000
0.09265605 -1.00000000 0.00000000
0.09590869 -1.00000000 0.00000000
0.09927552 -1.00000000 0.00000000
0.10276054 -1.00000000 0.00000000
0.10636791 -1.00000000 0.00000000
0.11010190 -1.00000000 0.00000000
0.11396698 -1.00000000 0.00000000
0.11796773 -1.00000000 0.00000000
0.12210894 -1.00000000 0.00000000
0.12639551 -1.00000000 0.00000000
0.13083257 -1.00000000 0.00000000
0.13542539 -1.00000000 0.00000000
0.14017943 -1.00000000 0.00000000
0.14510037 -1.00000000 0.00000000
0.15019405 -1.00000000 0.00000000
0.15546654 -1.00000000 0.00000000
0.16092412 -1.00000000 0.00000000
0.16657328 -1.00000000 0.00000000
0.17242076 -1.00000000 0.00000000
0.17847351 -1.00000000 0.00000000
0.18473874 -1.00000000 0.00000000
0.19122391 -1.00000000 0.00000000
0.19793674 -1.00000000 0.00000000
0.20488521 -1.00000000 0.00000000
0.21207761 -1.00000000 0.00000000
0.21952250 -1.00000000 0.00000000
0.22722873 -1.00000000 0.00000000
0.23520549 -1.00000000 0.00000000
0.24346227 -1.00000000 0.00000000
0.25200890 -1.00000000 0.00000000
0.26085556 -1.00000000 0.00000000
0.27001277 -1.00000000 0.00000000
0.27949144 -1.00000000 0.00000000
0.28930286 -1.00000000 0.00000000
0.29945870 -1.00000000 0.00000000
0.30997106 -1.00000000 0.00000000
0.32085245 -1.00000000 0.00000000
0.33211582 -1.00000000 0.00000000
0.34377460 -1.00000000 0.00000000
0.35584264 -1.00000000 0.00000000
0.36833433 -1.00000000 0.00000000
0.38126454 -1.00000000 0.00000000
0.39464865 -1.00000000 0.00000000
0.40850261 -1.00000000 0.00000000
0.42284290 -1.00000000 0.00000000
0.43768661 -1.00000000 0.00000000
0.45305139 -1.00000000 0.00000000
0.46895555 -1.00000000 0.00000000
0.48541801 -1.00000000 0.00000000
0.50245839 -1.00000000 0.00000000
0.52009695 -1.00000000 0.00000000
0.53835472 -1.00000000 0.00000000
0.55725341 -1.00000000 0.00000000
0.57681553 -1.00000000 0.00000000
0.59706437 -1.00000000 0.00000000
0.61802404 -1.00000000 0.00000000
0.63971948 -1.00000000 0.00000000
0.66217654 -1.00000000 0.00000000
0.68542193 -1.00000000 0.00000000
0.70948335 -1.00000000 0.00000000
0.73438943 -1.00000000 0.00000000
0.76016983 -1.00000000 0.00000000
0.78685524 -1.00000000 0.00000000
0.81447743 -1.00000000 0.00000000
0.84306928 -1.00000000 0.00000000
0.87266483 -1.00000000 0.00000000
0.90329933 -1.00000000 0.00000000
0.93500923 -1.00000000 0.00000000
0.96783229 -1.00000000 0.00000000
1.00180759 -1.00000000 0.00000000
1.03697558 -1.00000000 0.00000000
1.07337813 -1.00000000 0.00000000
1.11105856 -1.00000000 0.00000000
1.15006176 -1.00000000 0.00000000
1.19043414 -1.00000000 0.00000000
