# z w_eff(z) cs2_fld(z)
0.03526272 -2.10701328 1.00000000
0.03650061 -2.10697568 1.00000000
0.03778194 -2.10693683 1.00000000
0.03910826 -2.10689671 1.00000000
0.04048114 -2.10685527 1.00000000
0.04190221 -2.10681248 1.00000000
0.04337317 -2.10676829 1.00000000
0.04489576 -2.10672266 1.00000000
0.04647181 -2.10667555 1.00000000
0.04810318 -2.10662692 1.00000000
0.04979182 -2.10657672 1.00000000
0.05153973 -2.10652491 1.00000000
0.05334901 -2.10647143 1.00000000
0.05522181 -2.10641624 1.00000000
0.05716034 -2.10635929 1.00000000
0.05916693 -2.10630053 1.00000000
0.06124396 -2.10623992 1.00000000
0.06339390 -2.10617739 1.00000000
0.06561931 -2.10611290 1.00000000
0.06792284 -2.10604638 1.00000000
0.07030724 -2.10597780 1.00000000
0.07277535 -2.10590708 1.00000000
0.07533009 -2.10583418 1.00000000
0.07797452 -2.10575903 1.00000000
0.08071178 -2.10568158 1.00000000
0.08354513 -2.10560177 1.00000000
0.08647794 -2.10551953 1.00000000
0.08951371 -2.10543482 1.00000000
0.09265605 -2.10534755 1.00000000
0.09590869 -2.10525769 1.00000000
0.09927552 -2.10516515 1.00000000
0.10276054 -2.10506987 1.00000000
0.10636791 -2.10497180 1.00000000
0.11010190 -2.10487087 1.00000000
0.11396698 -2.10476702 1.00000000
0.11796773 -2.10466017 1.00000000
0.12210894 -2.10455027 1.00000000
0.12639551 -2.10443724 1.00000000
0.13083257 -2.10432103 1.00000000
0.13542539 -2.10420157 1.00000000
0.14017943 -2.10407879 1.00000000
0.14510037 -2.10395264 1.00000000
0.15019405 -2.10382304 1.00000000
0.15546654 -2.10368993 1.00000000
0.16092412 -2.10355326 1.00000000
0.16657328 -2.10341295 1.00000000
0.17242076 -2.10326896 1.00000000
0.17847351 -2.10312122 1.00000000
0.18473874 -2.10296967 1.00000000
0.19122391 -2.10281426 1.00000000
0.19793674 -2.10265493 1.00000000
0.20488521 -2.10249164 1.00000000
0.21207761 -2.10232433 1.00000000
0.21952250 -2.10215295 1.00000000
0.22722873 -2.10197747 1.00000000
0.23520549 -2.10179783 1.00000000
0.24346227 -2.10161400 1.00000000
0.25200890 -2.10142595 1.00000000
0.26085556 -2.10123364 1.00000000
0.27001277 -2.10103705 1.00000000
0.27949144 -2.10083614 1.00000000
0.28930286 -2.10063091 1.00000000
0.29945870 -2.10042133 1.00000000
0.30997106 -2.10020740 1.00000000
0.32085245 -2.09998912 1.00000000
0.33211582 -2.09976647 1.00000000
0.34377460 -2.09953948 1.00000000
0.35584264 -2.09930814 1.00000000
0.36833433 -2.09907249 1.00000000
0.38126454 -2.09883255 1.00000000
0.39464865 -2.09858834 1.00000000
0.40850261 -2.09833992 1.00000000
0.42284290 -2.09808732 1.00000000
0.43768661 -2.09783060 1.00000000
0.45305139 -2.09756984 1.00000000
0.46895555 -2.09730509 1.00000000
0.48541801 -2.09703645 1.00000000
0.50245839 -2.09676400 1.00000000
0.52009695 -2.09648786 1.00000000
0.53835472 -2.09620812 1.00000000
0.55725341 -2.09592492 1.00000000
0.57681553 -2.09563838 1.00000000
0.59706437 -2.09534867 1.00000000
0.61802404 -2.09505592 1.00000000
0.63971948 -2.09476033 1.00000000
0.66217654 -2.09446207 1.00000000
0.68542193 -2.09416135 1.00000000
0.70948335 -2.09385838 1.00000000
0.73438943 -2.09355340 1.00000000
0.76016983 -2.09324665 1.00000000
0.78685524 -2.09293840 1.00000000
0.81447743 -2.09262894 1.00000000
0.84306928 -2.09231858 1.00000000
0.87266483 -2.09200765 1.00000000
0.90329933 -2.09169649 1.00000000
0.93500923 -2.09138549 1.00000000
0.96783229 -2.09107505 1.00000000
1.00180759 -2.09076560 1.00000000
1.03697558 -2.09045760 1.00000000
